2023-02-28 00:00:29.433 DEBUG [slick.db housekeeper] com.zaxxer.hikari.pool.HikariPool.logPoolState:411 -slick.db - Before cleanup stats (total=2, active=1, idle=1, waiting=0)
2023-02-28 00:00:29.433 DEBUG [slick.db housekeeper] com.zaxxer.hikari.pool.HikariPool.logPoolState:411 -slick.db - After cleanup  stats (total=2, active=1, idle=1, waiting=0)
2023-02-28 00:00:59.447 DEBUG [slick.db housekeeper] com.zaxxer.hikari.pool.HikariPool.logPoolState:411 -slick.db - Before cleanup stats (total=2, active=1, idle=1, waiting=0)
2023-02-28 00:00:59.447 DEBUG [slick.db housekeeper] com.zaxxer.hikari.pool.HikariPool.logPoolState:411 -slick.db - After cleanup  stats (total=2, active=1, idle=1, waiting=0)
2023-02-28 00:01:29.461 DEBUG [slick.db housekeeper] com.zaxxer.hikari.pool.HikariPool.logPoolState:411 -slick.db - Before cleanup stats (total=2, active=1, idle=1, waiting=0)
2023-02-28 00:01:29.461 DEBUG [slick.db housekeeper] com.zaxxer.hikari.pool.HikariPool.logPoolState:411 -slick.db - After cleanup  stats (total=2, active=1, idle=1, waiting=0)
2023-02-28 00:01:59.477 DEBUG [slick.db housekeeper] com.zaxxer.hikari.pool.HikariPool.logPoolState:411 -slick.db - Before cleanup stats (total=2, active=1, idle=1, waiting=0)
2023-02-28 00:01:59.477 DEBUG [slick.db housekeeper] com.zaxxer.hikari.pool.HikariPool.logPoolState:411 -slick.db - After cleanup  stats (total=2, active=1, idle=1, waiting=0)
2023-02-28 00:02:29.492 DEBUG [slick.db housekeeper] com.zaxxer.hikari.pool.HikariPool.logPoolState:411 -slick.db - Before cleanup stats (total=2, active=1, idle=1, waiting=0)
2023-02-28 00:02:29.492 DEBUG [slick.db housekeeper] com.zaxxer.hikari.pool.HikariPool.logPoolState:411 -slick.db - After cleanup  stats (total=2, active=1, idle=1, waiting=0)
2023-02-28 00:02:59.493 DEBUG [slick.db housekeeper] com.zaxxer.hikari.pool.HikariPool.logPoolState:411 -slick.db - Before cleanup stats (total=2, active=1, idle=1, waiting=0)
2023-02-28 00:02:59.493 DEBUG [slick.db housekeeper] com.zaxxer.hikari.pool.HikariPool.logPoolState:411 -slick.db - After cleanup  stats (total=2, active=1, idle=1, waiting=0)
2023-02-28 00:03:29.502 DEBUG [slick.db housekeeper] com.zaxxer.hikari.pool.HikariPool.logPoolState:411 -slick.db - Before cleanup stats (total=2, active=1, idle=1, waiting=0)
2023-02-28 00:03:29.502 DEBUG [slick.db housekeeper] com.zaxxer.hikari.pool.HikariPool.logPoolState:411 -slick.db - After cleanup  stats (total=2, active=1, idle=1, waiting=0)
2023-02-28 00:03:59.516 DEBUG [slick.db housekeeper] com.zaxxer.hikari.pool.HikariPool.logPoolState:411 -slick.db - Before cleanup stats (total=2, active=1, idle=1, waiting=0)
2023-02-28 00:03:59.516 DEBUG [slick.db housekeeper] com.zaxxer.hikari.pool.HikariPool.logPoolState:411 -slick.db - After cleanup  stats (total=2, active=1, idle=1, waiting=0)
2023-02-28 00:04:29.525 DEBUG [slick.db housekeeper] com.zaxxer.hikari.pool.HikariPool.logPoolState:411 -slick.db - Before cleanup stats (total=2, active=1, idle=1, waiting=0)
2023-02-28 00:04:29.525 DEBUG [slick.db housekeeper] com.zaxxer.hikari.pool.HikariPool.logPoolState:411 -slick.db - After cleanup  stats (total=2, active=1, idle=1, waiting=0)
2023-02-28 00:04:59.537 DEBUG [slick.db housekeeper] com.zaxxer.hikari.pool.HikariPool.logPoolState:411 -slick.db - Before cleanup stats (total=2, active=1, idle=1, waiting=0)
2023-02-28 00:04:59.537 DEBUG [slick.db housekeeper] com.zaxxer.hikari.pool.HikariPool.logPoolState:411 -slick.db - After cleanup  stats (total=2, active=1, idle=1, waiting=0)
2023-02-28 00:05:29.544 DEBUG [slick.db housekeeper] com.zaxxer.hikari.pool.HikariPool.logPoolState:411 -slick.db - Before cleanup stats (total=2, active=1, idle=1, waiting=0)
2023-02-28 00:05:29.544 DEBUG [slick.db housekeeper] com.zaxxer.hikari.pool.HikariPool.logPoolState:411 -slick.db - After cleanup  stats (total=2, active=1, idle=1, waiting=0)
2023-02-28 00:05:59.553 DEBUG [slick.db housekeeper] com.zaxxer.hikari.pool.HikariPool.logPoolState:411 -slick.db - Before cleanup stats (total=2, active=1, idle=1, waiting=0)
2023-02-28 00:05:59.553 DEBUG [slick.db housekeeper] com.zaxxer.hikari.pool.HikariPool.logPoolState:411 -slick.db - After cleanup  stats (total=2, active=1, idle=1, waiting=0)
2023-02-28 00:06:29.556 DEBUG [slick.db housekeeper] com.zaxxer.hikari.pool.HikariPool.logPoolState:411 -slick.db - Before cleanup stats (total=2, active=1, idle=1, waiting=0)
2023-02-28 00:06:29.556 DEBUG [slick.db housekeeper] com.zaxxer.hikari.pool.HikariPool.logPoolState:411 -slick.db - After cleanup  stats (total=2, active=1, idle=1, waiting=0)
2023-02-28 00:06:59.567 DEBUG [slick.db housekeeper] com.zaxxer.hikari.pool.HikariPool.logPoolState:411 -slick.db - Before cleanup stats (total=2, active=1, idle=1, waiting=0)
2023-02-28 00:06:59.567 DEBUG [slick.db housekeeper] com.zaxxer.hikari.pool.HikariPool.logPoolState:411 -slick.db - After cleanup  stats (total=2, active=1, idle=1, waiting=0)
2023-02-28 00:07:29.569 DEBUG [slick.db housekeeper] com.zaxxer.hikari.pool.HikariPool.logPoolState:411 -slick.db - Before cleanup stats (total=2, active=1, idle=1, waiting=0)
2023-02-28 00:07:29.569 DEBUG [slick.db housekeeper] com.zaxxer.hikari.pool.HikariPool.logPoolState:411 -slick.db - After cleanup  stats (total=2, active=1, idle=1, waiting=0)
2023-02-28 00:07:59.572 DEBUG [slick.db housekeeper] com.zaxxer.hikari.pool.HikariPool.logPoolState:411 -slick.db - Before cleanup stats (total=2, active=1, idle=1, waiting=0)
2023-02-28 00:07:59.572 DEBUG [slick.db housekeeper] com.zaxxer.hikari.pool.HikariPool.logPoolState:411 -slick.db - After cleanup  stats (total=2, active=1, idle=1, waiting=0)
2023-02-28 00:08:29.588 DEBUG [slick.db housekeeper] com.zaxxer.hikari.pool.HikariPool.logPoolState:411 -slick.db - Before cleanup stats (total=2, active=1, idle=1, waiting=0)
2023-02-28 00:08:29.588 DEBUG [slick.db housekeeper] com.zaxxer.hikari.pool.HikariPool.logPoolState:411 -slick.db - After cleanup  stats (total=2, active=1, idle=1, waiting=0)
2023-02-28 00:08:59.588 DEBUG [slick.db housekeeper] com.zaxxer.hikari.pool.HikariPool.logPoolState:411 -slick.db - Before cleanup stats (total=2, active=1, idle=1, waiting=0)
2023-02-28 00:08:59.588 DEBUG [slick.db housekeeper] com.zaxxer.hikari.pool.HikariPool.logPoolState:411 -slick.db - After cleanup  stats (total=2, active=1, idle=1, waiting=0)
2023-02-28 00:09:29.600 DEBUG [slick.db housekeeper] com.zaxxer.hikari.pool.HikariPool.logPoolState:411 -slick.db - Before cleanup stats (total=2, active=1, idle=1, waiting=0)
2023-02-28 00:09:29.600 DEBUG [slick.db housekeeper] com.zaxxer.hikari.pool.HikariPool.logPoolState:411 -slick.db - After cleanup  stats (total=2, active=1, idle=1, waiting=0)
2023-02-28 00:09:59.615 DEBUG [slick.db housekeeper] com.zaxxer.hikari.pool.HikariPool.logPoolState:411 -slick.db - Before cleanup stats (total=2, active=1, idle=1, waiting=0)
2023-02-28 00:09:59.615 DEBUG [slick.db housekeeper] com.zaxxer.hikari.pool.HikariPool.logPoolState:411 -slick.db - After cleanup  stats (total=2, active=1, idle=1, waiting=0)
2023-02-28 00:10:29.630 DEBUG [slick.db housekeeper] com.zaxxer.hikari.pool.HikariPool.logPoolState:411 -slick.db - Before cleanup stats (total=2, active=1, idle=1, waiting=0)
2023-02-28 00:10:29.630 DEBUG [slick.db housekeeper] com.zaxxer.hikari.pool.HikariPool.logPoolState:411 -slick.db - After cleanup  stats (total=2, active=1, idle=1, waiting=0)
2023-02-28 00:10:59.642 DEBUG [slick.db housekeeper] com.zaxxer.hikari.pool.HikariPool.logPoolState:411 -slick.db - Before cleanup stats (total=2, active=1, idle=1, waiting=0)
2023-02-28 00:10:59.642 DEBUG [slick.db housekeeper] com.zaxxer.hikari.pool.HikariPool.logPoolState:411 -slick.db - After cleanup  stats (total=2, active=1, idle=1, waiting=0)
